City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
340,Antalaha,MG,75.11,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
343,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
348,Ahipara,NZ,71.94,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
351,Makakilo City,US,78.8,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
353,Iracoubo,GF,77.65,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
357,Cedral,MX,77.27,few clouds,23.8,-100.7333,Hotel Rocio
362,Kirakira,SB,79.23,overcast clouds,-10.4544,161.9205,SanBiz Lodge
368,Soure,BR,79.07,broken clouds,-0.7167,-48.5233,Casarão
370,Peruibe,BR,72.91,scattered clouds,-24.32,-46.9983,Hotel Pousada Xapuri
381,Hambantota,LK,76.62,overcast clouds,6.1241,81.1185,Bungalow 63
383,Pontianak,ID,77.0,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
386,Ende,ID,79.41,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
387,Inhambane,MZ,77.13,broken clouds,-23.865,35.3833,Oceano
393,Matadi,CD,77.95,overcast clouds,-5.8167,13.45,Hotel Fortune
400,Phuket,TH,73.4,few clouds,8.0,98.25,The Surin Phuket
403,Kupang,ID,77.0,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
404,Namibe,AO,71.4,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
408,Cam Ranh,VN,75.2,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
417,Alta Floresta,BR,72.18,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
420,Braganca,BR,76.28,broken clouds,-1.0536,-46.7656,Marujo's Suíte Hotel
427,Mittagong,AU,75.99,clear sky,-34.45,150.45,Mittagong Motel
428,Yulara,AU,75.2,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
433,Bustamante,MX,73.72,clear sky,26.5333,-100.5,Hotel Hacienda los Nogales
435,Cabo San Lucas,MX,77.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
436,Tapel,PH,74.1,light rain,18.2891,122.0292,Balay Bisita
437,Karratha,AU,78.35,few clouds,-20.7377,116.8463,ibis Styles Karratha
439,Sao Joao Da Boa Vista,BR,77.0,clear sky,-21.9692,-46.7981,Libero Hotel
445,Kuching,MY,75.2,light rain,1.55,110.3333,Hilton Kuching
449,Altamonte Springs,US,73.4,overcast clouds,28.6611,-81.3656,Embassy Suites by Hilton Orlando North
450,Bassila,BJ,77.11,few clouds,9.0081,1.6654,COMPLEXE MAKOYA ET FILS
451,Ojinaga,MX,71.6,clear sky,29.5667,-104.4167,Suites Las Palmas
456,Canutama,BR,76.39,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
466,Vao,NC,77.4,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
478,Hualmay,PE,72.28,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
480,Louveira,BR,73.99,few clouds,-23.0864,-46.9506,Hotel Estância Santa Mônica
484,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
489,Hobyo,SO,76.93,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
490,Lower Hutt,NZ,70.0,overcast clouds,-41.2167,174.9167,Boulcott Lodge
499,Zuwarah,LY,71.87,overcast clouds,32.9312,12.082,سالمة نورالدين المخزوم الزليطني
501,San Cosme Y Damian,PY,78.8,clear sky,-27.3167,-56.35,Posada Turística Aguapey
502,Salta,AR,78.8,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
503,Kathu,TH,73.4,few clouds,7.9178,98.3332,Novotel Phuket Resort
509,Bocas Del Toro,PA,70.0,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
515,Maragogi,BR,78.42,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
523,Bontang,ID,77.0,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
525,Monrovia,LR,75.2,scattered clouds,6.3005,-10.7969,Sunset Inn
530,Rio Grande,BR,71.01,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
533,Sawakin,SD,71.96,scattered clouds,19.1059,37.3321,فندق الدويم
540,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
546,Sambava,MG,75.04,overcast clouds,-14.2667,50.1667,Melrose
561,Kaiwaka,NZ,75.0,broken clouds,-36.1667,174.45,White Horse Farmstay B & B
563,Ahuimanu,US,78.8,few clouds,21.4447,-157.8378,Paradise Bay Resort
564,Breves,BR,79.93,few clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
570,Waipawa,NZ,70.0,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
